tier_order	evidence_tier	gene	target_axis	representative_agents	main_text_role	n_instrument	context	mr_or	mr_fdr	coloc_pp4	predicted_drug_effect	clinical_outcome	concordance	manuscript_interpretation	caveat	citation	url
1	strict_actionable_warning	CXCR2	CXCR2	navarixin; AZD5069; danirixin	Main text key warning	1	blood	0.753	1.2449691178185932e-07	0.951	harmful/ineffective	failed/no_efficacy	concordant	High-confidence protective expression signal predicts that CXCR2 antagonism is harmful or ineffective.	Clinical no-efficacy evidence is not a mature positive IBD endpoint; state as a genetic warning, not a completed IBD trial validation.	De Soyza et al. AZD5069 in bronchiectasis; ClinicalTrials.gov NCT03250689 danirixin COPD/influenza.	https://pubmed.ncbi.nlm.nih.gov/26341987/; https://clinicaltrials.gov/study/NCT03250689
2	directional_positive_control	TNFRSF1A	TNF/TNFRSF1A	infliximab; adalimumab; golimumab; certolizumab	Main text positive control	1	blood	1.163	0.039872958237267	0.18	beneficial	approved_effective	concordant	Anti-TNF direction agrees with known IBD efficacy, but the coloc result is below the strict threshold.	Use as a directional sanity check only; PP4 is 0.18.	Rutgeerts et al. Infliximab for induction and maintenance therapy for ulcerative colitis. N Engl J Med 2005.	https://www.naspghan.org/files/documents/pdfs/training/curriculum-resources/inflammatory%20bowel%20disease_zeusdeleted_145_09092015100906/ACT_1_and_2.pdf
3	downgraded_hint_supplementary	CCL8	CCL8	chemokine-axis inhibition	Supplementary cautionary signal	1	blood	2.349	0.0299483622168182	0.955	neutral/uncertain	untested	not_actionable	CCL8 has a coloc-positive single-lead signal and FinnGen support, but hardening weakens it.	Do not present as a co-equal causal target with CXCR2; multi-instrument, MVMR, and pQTL checks are not robust.	Local hardening outputs: ccl8_mvmr.tsv and pqtl_ccl8_v2.tsv.	results/tables/ccl8_mvmr.tsv; results/tables/pqtl_ccl8_v2.tsv
4	genetics_silent_approved_pathway	IL12B	IL12/23 p40	ustekinumab	Limitations / context	0					neutral/uncertain	approved_effective	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Feagan et al. UNITI/IM-UNITI Crohn's; Sands et al. UNIFI UC. N Engl J Med.	https://www.nejm.org/doi/full/10.1056/NEJMoa1602773; https://www.nejm.org/doi/full/10.1056/NEJMoa1900750
4	genetics_silent_approved_pathway	IL23A	IL23 p19	risankizumab; mirikizumab; guselkumab	Limitations / context	0					neutral/uncertain	approved_effective	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Review of IL-23 inhibitors in IBD.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11920014/
4	genetics_silent_approved_pathway	IL23R	IL23 signaling	IL-23 pathway inhibitors	Limitations / context	0					neutral/uncertain	approved_effective	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Review of IL-23 inhibitors in IBD.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11920014/
4	genetics_silent_approved_pathway	IL6R	IL6/IL6R	tocilizumab; PF-04236921; olamkicept	Limitations / context	1	blood_expanded	1.128338208066951	0.6568461700858613	2.2951561620183362e-07	neutral/uncertain	mixed	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Ito et al. anti-IL6R in Crohn's disease; selective IBD therapy review summarizing ANDANTE and olamkicept.	https://pubmed.ncbi.nlm.nih.gov/15902961/; https://www.mdpi.com/2077-0383/11/4/994
4	genetics_silent_approved_pathway	ITGA4	alpha4beta7 integrin	vedolizumab	Limitations / context	0					neutral/uncertain	approved_effective	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Feagan et al. GEMINI 1 UC; Sandborn et al. GEMINI 2 CD. N Engl J Med 2013.	https://www.nejm.org/doi/full/10.1056/NEJMoa1215734; https://www.nejm.org/doi/full/10.1056/NEJMoa1215739
4	genetics_silent_approved_pathway	ITGB7	alpha4beta7 integrin	vedolizumab	Limitations / context	0					neutral/uncertain	approved_effective	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Feagan et al. GEMINI 1 UC; Sandborn et al. GEMINI 2 CD. N Engl J Med 2013.	https://www.nejm.org/doi/full/10.1056/NEJMoa1215734; https://www.nejm.org/doi/full/10.1056/NEJMoa1215739
4	genetics_silent_approved_pathway	JAK1	JAK/STAT	tofacitinib; upadacitinib; filgotinib	Limitations / context	1	blood_expanded	0.9053627764447604	0.7151907538234329	0.0049930395898559	neutral/uncertain	approved_effective	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Feagan et al. Upadacitinib induction CD (SELECTION). NEJM 2021; Danese et al. Upadacitinib maintenance UC. Gastroenterology 2022.	https://www.nejm.org/doi/full/10.1056/NEJMoa2008389
